# 1      Please keep this file sorted alphabetically (ascending) and clear of duplicates
# 2      In VS Code you can do this with:
# 3      ctrl+shift+p > Delete Duplicate Lines
# 4      ctrl+shift+p > Sort Lines Ascending
# 5
# 6      Format:
# 7      manifest | source code
https://raw.githubusercontent.com/iankiller77/MyAnimeSync/main/manifest.json | https://github.com/iankiller77/MyAnimeSync
https://raw.githubusercontent.com/iCosiSenpai/iCosiSenpai-Plugins/main/manifest.json | https://github.com/iCosiSenpai/iCosiSenpai-Plugins
https://raw.githubusercontent.com/IDisposable/jellyfin-plugin-justwatch/main/manifest.json | https://github.com/IDisposable/jellyfin-plugin-justwatch
https://raw.githubusercontent.com/IDisposable/jellyfin-plugin-mindthegaps/main/manifest.json | https://github.com/IDisposable/jellyfin-plugin-mindthegaps
https://raw.githubusercontent.com/IDisposable/jellyfin-plugin-subtitleocr/main/manifest.json | https://github.com/IDisposable/jellyfin-plugin-subtitleocr
https://raw.githubusercontent.com/ifoundthetao/jellyfin-plugin-season-picker/main/manifest.json | https://github.com/ifoundthetao/jellyfin-plugin-season-picker
https://raw.githubusercontent.com/iHumberto/jellyfin-plugin-scriptrunner/main/manifest.json | https://github.com/iHumberto/jellyfin-plugin-scriptrunner
https://raw.githubusercontent.com/ImLunaHey/jellyfin-plugin-brrr-now/main/manifest.json | https://github.com/ImLunaHey/jellyfin-plugin-brrr-now
https://raw.githubusercontent.com/ivenos/jellyfin_inventory/main/manifest.json | https://github.com/ivenos/jellyfin_inventory
https://raw.githubusercontent.com/jackwander/jellyfin-graveyard-analytics/master/manifest.json | https://github.com/jackwander/jellyfin-graveyard-analytics
https://raw.githubusercontent.com/JellyboxAD/Jellyfin.Plugin.StreamLimit/main/manifest.json | https://github.com/JellyboxAD/Jellyfin.Plugin.StreamLimit
https://raw.githubusercontent.com/jellyfin-adult/Jellyfin.Plugin.Pronium/master/manifest.json | https://github.com/jellyfin-adult/Jellyfin.Plugin.Pronium
https://raw.githubusercontent.com/Jellyfin-PG/Repository/refs/heads/main/manifest.json | https://github.com/Jellyfin-PG/JellyEmu
https://raw.githubusercontent.com/jellystrm/plugins/main/manifest.json | https://github.com/jellystrm/plugins
https://raw.githubusercontent.com/john-pierre/jellyfin-plugin-tvheadend-api/refs/heads/main/manifest.json | https://github.com/john-pierre/jellyfin-plugin-tvheadend-api
https://raw.githubusercontent.com/johnpc/jellyfin-plugin-collection-image-generator/refs/heads/main/manifest.json | https://github.com/johnpc/jellyfin-plugin-collection-image-generator
https://raw.githubusercontent.com/johnpc/jellyfin-plugin-custom-javascript/refs/heads/main/manifest.json | https://github.com/johnpc/jellyfin-plugin-custom-javascript
https://raw.githubusercontent.com/johnpc/jellyfin-plugin-smart-collections/refs/heads/main/manifest.json | https://github.com/johnpc/jellyfin-plugin-smart-collections/
https://raw.githubusercontent.com/johnpc/jellyfin-plugin-top-ten/refs/heads/main/manifest.json | https://github.com/johnpc/jellyfin-plugin-top-ten
https://raw.githubusercontent.com/jon4hz/jellyfin-plugin-discontinue-watching/main/manifest.json | https://github.com/jon4hz/jellyfin-plugin-discontinue-watching
https://raw.githubusercontent.com/jon4hz/jellyfin-plugin-jellysleep/main/manifest.json | https://github.com/jon4hz/jellyfin-plugin-jellysleep
https://raw.githubusercontent.com/jon4hz/jellyfin-plugin-jellysweep/main/manifest.json | https://github.com/jon4hz/jellyfin-plugin-jellysweep
https://raw.githubusercontent.com/jonjonsson/plugin.jellyfin.acdb.manifest/main/manifest.json | https://github.com/jonjonsson/plugin.jellyfin.acdb.manifest
https://raw.githubusercontent.com/jonschz/jellyfin-plugin-preventsleep/refs/heads/main/manifest.json | https://github.com/jonschz/jellyfin-plugin-preventsleep
https://raw.githubusercontent.com/josdion/subbuzz/master/repo/jellyfin_10.10.json | https://github.com/josdion/subbuzz
https://raw.githubusercontent.com/josdion/subbuzz/master/repo/jellyfin_10.11.json | https://github.com/josdion/subbuzz
https://raw.githubusercontent.com/josdion/subbuzz/master/repo/jellyfin_10.8.json | https://github.com/josdion/subbuzz
https://raw.githubusercontent.com/josdion/subbuzz/master/repo/jellyfin_10.9.json | https://github.com/josdion/subbuzz
https://raw.githubusercontent.com/josdion/subbuzz/master/repo/jellyfin_12.json | https://github.com/josdion/subbuzz
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-artworkgenerator/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-artworkgenerator
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-custompages/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-custompages
https://raw.githubusercontent.com/JPKribs/jellyfin-plugin-ddns/master/manifest.json | https://github.com/JPKribs/jellyfin-plugin-ddns
